Date,Time,Temperature,Humidity
12/16/23,12:32,18.7*C,68.9%
12/16/23,12:32,18.8*C,68.6%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:33,18.8*C,68.5%
12/16/23,12:33,18.7*C,68.5%
12/16/23,12:33,18.8*C,68.5%
12/16/23,12:33,18.8*C,68.7%
12/16/23,12:33,18.8*C,69.3%
12/16/23,12:33,18.8*C,69.3%
12/16/23,12:33,18.8*C,69.2%
12/16/23,12:33,18.8*C,68.8%
12/16/23,12:33,18.8*C,68.7%
12/16/23,12:33,18.8*C,68.6%
12/16/23,12:34,18.8*C,68.6%
12/16/23,12:34,18.8*C,68.6%
12/16/23,12:34,18.8*C,69.1%
12/16/23,12:34,18.8*C,69.3%
12/16/23,12:34,18.8*C,69.0%
12/16/23,12:37,18.9*C,69.0%
12/16/23,12:38,18.8*C,68.4%
12/16/23,12:38,18.8*C,68.4%
12/16/23,12:39,18.7*C,68.7%
12/16/23,12:39,18.6*C,68.7%
12/16/23,12:40,18.6*C,68.9%
12/16/23,12:40,18.5*C,69.1%
12/16/23,12:41,18.6*C,69.0%
12/16/23,12:41,18.5*C,69.1%
12/16/23,12:42,18.3*C,61.1%
12/16/23,12:42,18.4*C,61.0%
12/16/23,12:43,17.6*C,50.4%
12/16/23,12:43,17.6*C,50.3%
12/16/23,12:44,16.9*C,50.7%
12/16/23,12:44,16.8*C,50.6%
12/16/23,12:45,16.7*C,50.1%
12/16/23,12:45,16.6*C,49.6%
12/16/23,12:48,15.9*C,48.2%
12/16/23,12:54,16.1*C,56.7%
12/16/23,12:54,16.2*C,57.0%
12/16/23,12:55,16.7*C,57.7%
12/16/23,13:00,17.2*C,59.0%
12/16/23,13:01,17.5*C,59.4%
12/16/23,13:04,17.8*C,60.1%
12/16/23,13:05,17.9*C,60.3%
12/16/23,13:06,17.9*C,60.4%
12/16/23,13:06,17.9*C,60.6%
12/16/23,13:07,17.9*C,60.7%
12/16/23,13:08,17.9*C,60.8%
12/16/23,13:08,17.9*C,60.9%
12/16/23,13:09,18.0*C,61.0%
12/16/23,13:10,18.1*C,61.0%
12/16/23,13:10,18.1*C,61.0%
12/16/23,13:11,18.1*C,61.1%
12/16/23,13:11,18.1*C,61.4%
12/16/23,13:12,18.0*C,61.4%
12/16/23,13:13,18.0*C,61.5%
12/16/23,13:13,18.0*C,61.5%
12/16/23,13:14,18.0*C,61.6%
12/16/23,13:14,18.0*C,61.7%
12/16/23,13:15,18.0*C,61.8%
12/16/23,13:15,18.1*C,61.7%
12/16/23,13:16,18.0*C,61.8%
12/16/23,13:16,18.0*C,62.0%
12/16/23,13:17,18.0*C,62.0%
12/16/23,13:17,18.1*C,62.0%
12/16/23,13:18,18.0*C,62.2%
12/16/23,13:18,18.0*C,62.2%
12/16/23,13:19,18.0*C,62.3%
12/16/23,13:19,18.1*C,62.2%
12/16/23,13:20,18.1*C,62.3%
12/16/23,13:20,18.1*C,62.4%
12/16/23,13:21,18.1*C,62.4%
12/16/23,13:21,18.1*C,62.5%
12/16/23,13:22,18.1*C,62.5%
12/16/23,13:22,18.1*C,62.5%
12/16/23,13:23,18.1*C,62.7%
12/16/23,13:23,18.1*C,62.7%
12/16/23,13:24,18.1*C,62.8%
12/16/23,13:24,18.1*C,62.8%
12/16/23,13:25,18.1*C,62.9%
12/16/23,13:25,18.1*C,62.8%
12/16/23,13:26,18.1*C,62.9%
12/16/23,13:26,18.1*C,63.0%
12/16/23,13:27,18.1*C,63.1%
12/16/23,13:27,18.1*C,63.1%
12/16/23,13:28,18.1*C,63.0%
12/16/23,13:28,18.1*C,63.2%
12/16/23,13:29,18.1*C,63.2%
12/16/23,13:29,18.1*C,63.1%
12/16/23,13:30,18.1*C,63.3%
12/16/23,13:31,18.1*C,63.2%
12/16/23,13:31,18.1*C,63.3%
12/16/23,13:32,18.1*C,63.4%
12/16/23,13:32,18.1*C,63.5%
12/16/23,13:33,18.1*C,63.5%
12/16/23,13:33,18.1*C,63.5%
12/16/23,13:34,18.1*C,63.6%
12/16/23,13:34,18.1*C,63.6%
12/16/23,13:35,18.1*C,63.6%
12/16/23,13:35,18.1*C,63.7%
12/16/23,13:36,18.1*C,63.7%
12/16/23,13:36,18.1*C,63.7%
12/16/23,13:37,18.1*C,63.7%
12/16/23,13:37,18.1*C,63.8%
12/16/23,13:38,18.1*C,63.8%
